"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Фильм не найден","","2026-04-13","passed","2026-04-13","","","",""
"","1275","Простой тест: проверить существование элементов","chromium","2026-04-13","passed","2026-04-13","Отладка","debug.spec.cjs","",""
"","7","Фильм 16+, зрителю 14 лет без сопровождающего — запрещено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testDeniedUnderageWithoutAccompanyingFor16Plus"
"","12109","Фильм 18+, зрителю 16 лет → доступ запрещён","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Негативные сценарии","age-verification.spec.cjs","",""
"","3","Некорректный возраст (отрицательный или >100) — запрещено [2] age = ""101"", movieId = ""tt002"", accompanying = ""true"", expected = ""запрещено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testInvalidAge"
"","20","Граничные значения возраста без сопровождающего [1] age = ""0"", movieId = ""tt001"", accompanying = ""false"", expected = ""разрешено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","12071","Возраст больше 100 → ошибка","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Негативные сценарии","age-verification.spec.cjs","",""
"","5","Граничные значения возраста без сопровождающего [7] age = ""16"", movieId = ""tt007"", accompanying = ""false"", expected = ""разрешено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","4","Фильм 6+, зрителю 5 лет с сопровождающим — разрешено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testAllowedWithAccompanyingFor6Plus"
"","6","СЛОЖНЫЙ СЦЕНАРИЙ: фильм не найден — доступ запрещён","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testMovieNotFound_ShouldDeny"
"","6","Граничные значения возраста без сопровождающего [4] age = ""11"", movieId = ""tt004"", accompanying = ""false"", expected = ""запрещено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","3","Сервис вернул некорректный рейтинг — запрещено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testInvalidRatingFromService_ShouldDeny"
"","12009","Фильм 18+, зрителю 18 лет → доступ разрешён","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Позитивные сценарии","age-verification.spec.cjs","",""
"","12058","Нулевой возраст → ошибка","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Негативные сценарии","age-verification.spec.cjs","",""
"","12600","Фильм 12+, зрителю 10 лет + с родителями → доступ разрешён","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Позитивные сценарии","age-verification.spec.cjs","",""
"","3","Фильм 18+, зрителю 17 лет с сопровождающим запрещено","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testDeniedUnder18EvenWithAccompanying"
"","5","Граничные значения возраста без сопровождающего [2] age = ""5"", movieId = ""tt002"", accompanying = ""false"", expected = ""запрещено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
"","12033","Отрицательный возраст → ошибка","chromium","2026-04-13","passed","2026-04-13","Проверка возрастного ценза > Негативные сценарии","age-verification.spec.cjs","",""
"","6","Граничные значения возраста без сопровождающего [3] age = ""6"", movieId = ""tt003"", accompanying = ""false"", expected = ""разрешено""","","2026-04-13","passed","2026-04-13","","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","com.example.Lab3.mock.FilmRatingAgeCheckerMockTest","testBoundaryValues"
